name,district,address,lat,lng,returnSlots
을지로3가역 3번출구,중구,서울특별시 중구 을지로 지하 129 을지로3가역 3번출구,37.56655884,126.9924393,8
서울역 센트럴 자이아파트,중구,서울특별시 중구 만리재로 175 서울역 센트럴 자이아파트,37.55410767,126.9654083,15
명보사거리,중구,서울특별시 중구 을지로 지하 129 명보사거리,37.56439972,126.9914322,10
송도병원,중구,서울특별시 중구 다산로 59-1 송도병원,37.54988861,127.0073471,8
장충동먹자골목 앞,중구,서울특별시 중구 장충단로 193-1  KEB하나은행 장충동지점,37.56212616,127.0062561,6
청계천 영도교,중구,서울특별시 중구 청계천로 400 롯데캐슬베네치아,37.5710144,127.0197449,25
을지로입구역 2번출구,중구,서울특별시 중구 을지로 지하 42 을지로입구역 1번출구,37.56634521,126.9822922,12
신당 래미안 버스정류장,중구,서울특별시 중구 퇴계로90길 74 신당 레미안 버스정류장 (112동 인근),37.56148911,127.0239334,10
SK 남산빌딩,중구,서울특별시 중구 퇴계로 33 SK 남산빌딩,37.55686188,126.9756165,10
서울역 서부교차로2,중구,서울특별시 중구 퇴계로 33 서울역 서부교차로2,37.55536652,126.9686432,20
염천교사거리,중구,서울특별시 중구 칠패로 5 서소문공원,37.55989075,126.9714966,15
서울역 서부,중구,서울특별시 중구 퇴계로 33 서울로7017편의시설,37.55641556,126.9691925,13
호암아트홀,중구,서울특별시 중구 세종대로7길 57-1 구두수선대207 호암아트홀,37.5621109,126.9707184,9
대한상공회의소,중구,서울특별시 중구 세종대로 39 대한서울상공회의소,37.56015396,126.9741058,15
롯데호텔,중구,서울특별시 중구 을지로 30 롯데호텔,37.56584167,126.9798126,13
한국은행,중구,서울특별시 중구 남대문로3가 110-8,37.5622139,126.9808655,11
웨스틴 조선호텔,중구,서울특별시 중구 소공로 106 서울 웨스틴조선호텔,37.56415939,126.9794846,8
회현역 1번출구,중구,서울특별시 중구 퇴계로 72 리더스뷰남산,37.5592308,126.9801407,11
회현역 7번출구,중구,서울특별시 중구 회현동1가 23-1,37.55974579,126.9800034,13
회현사거리 남측,중구,서울특별시 중구 퇴계로 100 스테이트타워 남산,37.56035995,126.9826508,10
삼일교(시그니쳐 타워),중구,서울특별시 중구 수표동 99-1,37.56787109,126.9884033,12
을지로4가역 9번출구,중구,서울특별시 중구 을지로 170,37.56605148,126.9979858,20
동대문역사문화공원역 1번출구 뒤편,중구,서울특별시 중구 을지로7가 143,37.56629944,127.0084915,40
DDP 패션몰,중구,서울특별시 중구 신당동 853,37.56764984,127.0118103,21
광희문,중구,서울특별시 중구 광희동2가 105-32,37.56443024,127.0099564,10
